tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-sex
#1918725,191,Vespertilio murinus,,,f
#1918728,239,Vespertilio murinus,,,f
#1918731,263,Vespertilio murinus,,,f
#1918734,321,Vespertilio murinus,,,f
#1918737,338,Vespertilio murinus,,,f
#1918740,360,Vespertilio murinus,,,f
#1918743,553,Vespertilio murinus,,,f
#1918746,021,Vespertilio murinus,,,m
#1918749,042,Vespertilio murinus,,,m
#1918918,127,Vespertilio murinus,,,m
#1918921,146,Vespertilio murinus,,,m
#1918924,168,Vespertilio murinus,,,m
#1918927,289,Vespertilio murinus,,,m
#1918930,330,Vespertilio murinus,,,m
#1918933,495,Vespertilio murinus,,,m
#1918936,570,Vespertilio murinus,,,m
#1918939,589,Vespertilio murinus,,,m
#1918942,,,,,
#1918945,,,,,
#1918948,,,,,
#1918951,,,,,
#1918954,,,,,
#1918957,,,,,
#1918960,,,,,
#1918963,,,,,
