Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,0,0,7e-05,0,64,0,389
0.0333333,0,0,0,0.00015,0,64,0,389
1.11667,0,7.2288,0,0.00015,0,81,0,388.6
1.13333,0,8.5212,0,0.0021,0,81,0,388.6
1.15,0,10.4724,0,0.00505,0,81,0,388.6
1.21667,0,8.8956,0,0.01577,0,84,0,388.6
1.25,0,6.822,0,0.01992,0,85,0,388.6
1.3,0,0,0,0.02241,0,86,0,388.6
2.23333,0,9.2304,0,0.02241,0,76,0,388.6
2.25,0,10.1088,0,0.0248,0,77,0,388.6
2.26667,0,10.5888,0,0.0278467,0,78,0,388.6
2.28333,0,11.0688,0,0.0308933,0,79,0,388.6
2.3,0,11.5488,0,0.03394,0,80,0,388.6
2.31667,0,12.6792,0,0.03759,0,82,0,388.6
2.33333,0,13.8204,0,0.042255,0,84,0,388.6
2.35,0,14.9616,0,0.04692,0,86,0,388.6
2.36667,0,14.9544,0,0.050795,0,87.5,0,388.6
2.38333,0,14.9472,0,0.05467,0,89,0,388.6
2.4,0,14.8878,0,0.05825,0,92,0,388.6
2.41667,0,14.8284,0,0.06183,0,95,0,388.6
2.43333,0,14.7114,0,0.065705,0,97,0,388.6
2.45,0,14.5944,0,0.06958,0,99,0,388.6
2.46667,0,14.8788,0,0.074025,0,100.5,0,388.6
2.48333,0,15.1632,0,0.07847,0,102,0,388.6
2.5,0,14.7924,0,0.08212,0,106,0,388.6
2.51667,0,14.0922,0,0.085555,0,108,0,388.6
2.53333,0,13.392,0,0.08899,0,110,0,388.6
2.55,0,13.8024,0,0.092665,0,111,0,388.6
2.56667,0,14.2128,0,0.09634,0,112,0,388.6
2.58333,0,13.3524,0,0.10004,0,115,0,389.6
2.6,0,12.7152,0,0.10352,0,117,0,390
2.61667,0,12.1752,0,0.10689,0,119,0,390.6
2.63333,0,11.6568,0,0.11001,0,120,0,391
2.65,0,10.926,0,0.11246,0,121.5,0,391
2.66667,0,10.1952,0,0.11491,0,123,0,391
2.68333,0,9.7056,0,0.11745,0,124,0,391
2.7,0,10.3428,0,0.120157,0,125,0,391.133
2.71667,0,10.98,0,0.122863,0,126,0,391.267
2.73333,0,11.6172,0,0.12557,0,127,0,391.4
2.75,0,12.402,0,0.12881,0,127,0,391.8
2.76667,0,14.1192,0,0.13321,0,128,0,392.4
2.78333,0,15.2316,0,0.13747,0,128,0,392.8
2.8,0,16.7796,0,0.14228,0,129,0,393.2
2.81667,0,17.7966,0,0.14751,0,129,0,393.2
2.83333,0,18.8136,0,0.15274,0,129,0,393.2
2.85,0,19.6531,0,0.15864,0,129.6,0,393.2
2.86667,0,20.4926,0,0.16454,0,130.2,0,393.2
2.88333,0,21.3322,0,0.17044,0,130.8,0,393.2
2.9,0,22.1717,0,0.17634,0,131.4,0,393.2
2.91667,0,23.0112,0,0.18224,0,132,0,393.2
2.93333,0,22.9932,0,0.18847,0,132,0,393.2
2.95,0,23.6808,0,0.1953,0,132.75,0,393.2
2.96667,0,24.3684,0,0.20213,0,133.5,0,393.2
2.98333,0,25.056,0,0.20896,0,134.25,0,393.2
3,0,25.7436,0,0.21579,0,135,0,393.2
3.01667,0,26.2863,0,0.223285,0,135.25,0,393.2
3.03333,0,26.829,0,0.23078,0,135.5,0,393.2
3.05,0,27.3717,0,0.238275,0,135.75,0,393.2
3.06667,0,27.9144,0,0.24577,0,136,0,393.2
3.08333,0,27.9144,0,0.25352,0,137,0,392.8
3.1,0,0,0,0.25352,0,137,0,392.4
